Description,Instrument Tag,SD Level,Note,,,,1,2,3,4,5,6,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Initiated from Level 2A HRP,ESD 2A-HRP,ESD 2-2A-HMP,,,U,41,,,,X,,,,,,,,,,,,,,,,,,,,D2,D2,,,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,,,,,,D2,D2,X,X,
Confirmed F&G,2-12-32-00006I,ESD 2-2A-HMP,11/12,,V,42,,,,X,,,D1,,,,,,,,,,,,,,,,,D2,D2,,,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,,,,,,D2,D2,X,X,
Confirmed F&G,2-13-32-00005I,ESD 2-2A-HMP,11/12,,V,43,,,,X,,,D1,,,,,,,,,,,,,,,,,D2,D2,,,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,,,,,,D2,D2,X,X,
Confirmed F&G,2-13-32-00006I,ESD 2-2A-HMP,11/12,,V,44,,,,X,,,D1,,,,,,,,,,,,,,,,,D2,D2,,,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,,,,,,D2,D2,X,X,
Confirmed F&G,2-14-32-00005I,ESD 2-2A-HMP,11/12,,V,45,,,,X,,,D1,,,,,,,,,,,,,,,,,D2,D2,,,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,,,,,,D2,D2,X,X,
Confirmed F&G,2-14-32-00006I,ESD 2-2A-HMP,11/12,,V,46,,,,X,,,D1,,,,,,,,,,,,,,,,,D2,D2,,,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,,,,,,D2,D2,X,X,
Confirmed F&G,1-15-32-00005I,ESD 2-2A-HMP,11/12,,V,47,,,,X,,,D1,,,,,,,,,,,,,,,,,D2,D2,,,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,,,,,,D2,D2,X,X,
Confirmed F&G,1-15-32-00006I,ESD 2-2A-HMP,11/12,,V,48,,,,X,,,D1,,,,,,,,,,,,,,,,,D2,D2,,,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,,,,,,D2,D2,X,X,
Level 2.2B HMP,ESD 2-2B-HMP,ESD 2-2B-HMP,,,W,49,,,,,,,,X,X,,X,X,X,,,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD from Level 2.2A HMP,ESD 2-2A-HMP,ESD 2-2B-HMP,,,X,50,,,,,,,,X,X,,X,X,X,,,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD from Level 2.1 HMP,ESD 2-1-HMP,ESD 2-2B-HMP,,,Y,51,,,,,,,,X,X,,X,X,X,,,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in CCR,ESB-152-07,ESD 2-2B-HMP,1,,Z,52,,,,,,,,X,X,,X,X,X,,,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in Cellar Deck,ESB-020-03A,ESD 2-2B-HMP,,,AA,53,,,,,,,,X,X,,X,X,X,,,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in Cellar Deck,ESB-020-03B,ESD 2-2B-HMP,,,AA,54,,,,,,,,X,X,,X,X,X,,,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in Cellar Deck,ESB-022-03A,ESD 2-2B-HMP,,,AA,55,,,,,,,,X,X,,X,X,X,,,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in Cellar Deck,ESB-022-03B,ESD 2-2B-HMP,,,AA,56,,,,,,,,X,X,,X,X,X,,,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in Process Areas,ESB-217-02,ESD 2-2B-HMP,4,,AB,57,,,,,,,,X,X,,X,X,X,,,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in Process Areas,ESB-414-02,ESD 2-2B-HMP,4,,AB,58,,,,,,,,X,X,,X,X,X,,,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in Process Areas,ESB-415-02,ESD 2-2B-HMP,4,,AB,59,,,,,,,,X,X,,X,X,X,,,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in Process Areas,ESB-423-02,ESD 2-2B-HMP,4,,AB,60,,,,,,,,X,X,,X,X,X,,,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in Process Areas,ESB-424-02,ESD 2-2B-HMP,4,,AB,61,,,,,,,,X,X,,X,X,X,,,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in Process Areas,ESB-446-01,ESD 2-2B-HMP,4,,AB,62,,,,,,,,X,X,,X,X,X,,,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in Process Areas,ESB-447-01,ESD 2-2B-HMP,4,,AB,63,,,,,,,,X,X,,X,X,X,,,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confirmed Fire,2-13-32-00001I,ESD 2-2B-HMP,,,AC,64,,,,,,,,X,X,,X,X,X,,,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confirmed Fire,2-14-32-00001I,ESD 2-2B-HMP,,,AC,65,,,,,,,,X,X,,X,X,X,,,X,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPS&Battery System,,,,,AD,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery disconnection,ESB-152-09,,1,/9,AE,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD from Level 0,ESD 0,,,,AF,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From the F&G system,,,,,AG,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single gas detection ,2-11-31-00001I,Util FireGas,5,,AH,70,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single gas detection ,2-11-32-00001I,Util FireGas,5,,AH,71,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single gas detection ,2-12-31-00002I,Util FireGas,5,,AH,72,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single gas detection ,2-12-32-00002I,Util FireGas,5,,AH,73,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single gas detection ,2-13-31-00001I,Util FireGas,5,,AH,74,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single gas detection ,2-13-32-00003I,Util FireGas,5,,AH,75,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single gas detection ,2-14-31-00001I,Util FireGas,5,,AH,76,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single gas detection ,2-14-32-00003I,Util FireGas,5,,AH,77,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single gas detection ,2-15-31-00001I,Util FireGas,5,,AH,78,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single gas detection ,2-15-32-00003I,Util FireGas,5,,AH,79,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single Fire M10,2-11-31-00003I,,,,AI,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confirmed Gas Em.Gen Inlet A,2-12-31-00008I ,,,,AJ,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confirmed Gas Em.Gen Inlet B,2-12-31-00009I ,,,,AK,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25 tech. rooms, elec. isolation ",,,,,AL,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manual Electrical Isolation,MEI-263-11,,1,,AM,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M30/40 tech. rooms, elec. isolation ",,,,,AO,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manual Electrical Isolation,MEI-331-11,,1,/10,AP,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manual Electrical Isolation,MEI-331-11A,,1,/10,AP,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From the F&G system,2-13-31-00002I,,6,,AQ,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From the F&G system,2-13-32-00002I,,6,,AQ,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From the F&G system,2-14-31-00002I,,6,,AQ,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From the F&G system,2-14-32-00002I,,6,,AQ,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M50/70 tech. rooms, elec. isolation ",,,,,AR,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manual Electrical Isolation,MEI-531-11,,1,/10,AS,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manual Electrical Isolation,MEI-531-11A,,1,/10,AS,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From the F&G system,1-15-31-00002I,,7,,AT,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From the F&G system,1-15-32-00002I,,7,,AT,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Voltage Isolation,,,,,AU,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M10 Trans. Room, FA113",MEI-113-11,,1,,AV,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M20 Switch Room, FA241",MEI-241-11,Util Elec,1,,AW,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,
"M20 Trans. Room, FA223",MEI-223-11,,1,,AX,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M50 Switch Room, FA531",MEI-531-10,,1,,AY,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manual Blow Down From HMI,,,,,AZ,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-EC-540302 WHRU,2-HS__-54300,,,,BA,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
